plant	mother plant	treatment	day	Probability of encounter	Morphospecies of first encounter	Time until encounter	Probability of removal	Morphospecies of removal	Time until removal	temperature
25	16	JA	1	1	Brachymyrmex	17	0	NA	NA	30
24	13	Control	1	0	NA	NA	NA	NA	NA	30
20	30	JA	1	0	NA	NA	NA	NA	NA	30
34	13	JA	1	0	NA	NA	NA	NA	NA	30
33	11	JA	1	1	Brachymyrmex	248	0	NA	NA	27
53	11	Control	1	1	Brachymyrmex	78	0	NA	NA	24
39	22	Control	1	0	NA	NA	NA	NA	NA	22
6	18	Control	1	0	NA	NA	NA	NA	NA	22
11	3	JA	1	0	NA	NA	NA	NA	NA	22
52	8	Control	1	0	NA	NA	NA	NA	NA	22
25	16	JA	2	1	Brachymyrmex	250	1	Nylanderia	60	32
24	13	Control	2	0	NA	NA	NA	NA	NA	36
20	30	JA	2	0	NA	NA	NA	NA	NA	36
34	13	JA	2	1	Camponotus	249	0	NA	NA	33
33	11	JA	2	1	Brachymyrmex	128	0	NA	NA	29
53	11	Control	2	0	NA	NA	NA	NA	NA	26
39	22	Control	2	0	NA	NA	NA	NA	NA	24
6	18	Control	2	0	NA	NA	NA	NA	NA	22
11	3	JA	2	0	NA	NA	NA	NA	NA	22
52	8	Control	2	0	NA	NA	NA	NA	NA	22
25	16	JA	3	1	Nylanderia	24	1	Nylanderia	3	28
24	13	Control	3	1	Nylanderia	255	1	Nylanderia	2	27
20	30	JA	3	0	NA	NA	NA	NA	NA	26
34	13	JA	3	1	Nylanderia	368	1	Nylanderia	1	26
33	11	JA	3	0	NA	NA	NA	NA	NA	26
53	11	Control	3	1	Brachymyrmex	317	0	NA	NA	26
39	22	Control	3	0	NA	NA	NA	NA	NA	25
6	18	Control	3	0	NA	NA	NA	NA	NA	22
11	3	JA	3	1	Nylanderia	123	1	Nylanderia	1	22
52	8	Control	3	0	NA	NA	NA	NA	NA	21
25	16	JA	4	1	Brachymyrmex	27	1	Nylanderia	508	38
24	13	Control	4	0	NA	NA	NA	NA	NA	33
20	30	JA	4	0	NA	NA	NA	NA	NA	36
34	13	JA	4	0	NA	NA	NA	NA	NA	30
33	11	JA	4	0	NA	NA	NA	NA	NA	28
53	11	Control	4	0	NA	NA	NA	NA	NA	26
39	22	Control	4	0	NA	NA	NA	NA	NA	24
6	18	Control	4	0	NA	NA	NA	NA	NA	24
11	3	JA	4	1	Nylanderia	64	1	Nylanderia	10	24
52	8	Control	4	0	NA	NA	NA	NA	NA	23
25	16	JA	5	1	Brachymyrmex	324	1	Nylanderia	241	32
24	13	Control	5	0	NA	NA	NA	NA	NA	34
20	30	JA	5	0	NA	NA	NA	NA	NA	32
34	13	JA	5	1	Camponotus	73	1	Camponotus	13	30
33	11	JA	5	1	Brachymyrmex	86	0	NA	NA	29
53	11	Control	5	0	NA	NA	NA	NA	NA	28
39	22	Control	5	0	NA	NA	NA	NA	NA	27
6	18	Control	5	1	Brachymyrmex	390	0	NA	NA	23
11	3	JA	5	1	Nylanderia	45	1	Nylanderia	14	22
52	8	Control	5	0	NA	NA	NA	NA	NA	22
8	26	Control	6	1	Brachymyrmex	263	1	Brachymyrmex	163	26
12	8	JA	6	1	Brachymyrmex	154	1	Brachymyrmex	128	25
7	21	Control	6	0	NA	NA	NA	NA	NA	23
16	18	JA	6	1	Brachymyrmex	554	0	NA	NA	23
35	16	Control	6	1	Nylanderia	462	1	Nylanderia	586	22
38	26	JA	6	0	NA	NA	NA	NA	NA	20
50	30	Control	6	0	NA	NA	NA	NA	NA	19
49	22	JA	6	0	NA	NA	NA	NA	NA	18
46	3	Control	6	1	Nylanderia	65	1	Nylanderia	18	17
57	21	JA	6	0	NA	NA	NA	NA	NA	17
8	26	Control	7	1	Brachymyrmex	33	0	NA	NA	30
12	8	JA	7	1	Brachymyrmex	212	1	Brachymyrmex	368	32
7	21	Control	7	0	NA	NA	NA	NA	NA	30
16	18	JA	7	1	Brachymyrmex	134	0	NA	NA	29
35	16	Control	7	1	Brachymyrmex	14	0	NA	NA	28
