plant	mother plant	treatment	Sample	temperature	brix	mean volume	mean sugar mass
17	21	aj	First	30	12,77	0,115646259	0,01520224
17	21	aj	Second	29	28,21	0,27324263	0,085563809
18	26	aj	First	23	2,2	0,151360544	0,003505077
18	26	aj	Second	23	5,71	0,283858998	0,01637016
19	22	ct	First	30	22,29	0,154195011	0,037034971
19	22	ct	Second	30	32,31	0,025170068	0,009214132
22	8	ct	First	20	22,29	0,337868481	0,081150157
22	8	ct	Second	29	41,73	0,083900227	0,041542491
28	26	ct	First	25	3,84	0,126984127	0,004965513
28	26	ct	Second	27	4,42	0,103741497	0,004649515
29	22	aj	First	28	21,12	0,0861678	0,019495343
29	22	aj	Second	29	19,2	0,343537415	0,069988685
31	3	ct	First	29	7,17	0,244217687	0,01769365
31	3	ct	Second	29	13,18	0,332199546	0,045152156
32	8	aj	First	29	7,67	0,194727891	0,015104924
32	8	aj	Second	31	12,85	0,223809524	0,029615409
37	21	ct	First	23	5,71	0,148526077	0,008565505
37	21	ct	Second	24	2,27	0,20303506	0,004838598
41	3	aj	First	25	6,85	0,19047619	0,013178946
41	3	aj	Second	25	3,84	0,46789966	0,018296476
