plant	mother plant	treatment	period	day	temperature	number of ants	number of ant morphospecies	probability of attendance	Camponotus	Linepithema	Brachymyrmex	Nylanderia	Attendance by Nylanderia	Sharing
25	16	JA	morning	1	37	12	1	1	NA	NA	12	NA	0	0
24	13	Control	morning	1	37	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	morning	1	34	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	morning	1	34	NA	0	0	NA	NA	NA	NA	NA	NA
33	11	JA	morning	1	41	2	1	1	NA	NA	2	NA	0	0
53	11	Control	morning	1	37	1	1	1	NA	NA	1	NA	0	0
39	22	Control	morning	1	37	NA	0	0	NA	NA	NA	NA	NA	NA
6	18	Control	morning	1	34	5	1	1	NA	NA	5	NA	0	0
11	3	JA	morning	1	34	8	1	1	NA	NA	8	NA	0	0
52	8	Control	morning	1	35	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	1	30	18	3	1	NA	1	16	1	1	1
24	13	Control	afternoon	1	30	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	1	30	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	afternoon	1	30	NA	0	0	NA	NA	NA	NA	NA	NA
33	11	JA	afternoon	1	27	4	1	1	NA	NA	4	NA	0	0
53	11	Control	afternoon	1	24	3	2	1	NA	1	2	NA	0	1
39	22	Control	afternoon	1	22	1	1	1	NA	NA	NA	1	1	0
6	18	Control	afternoon	1	22	2	1	1	NA	NA	NA	2	1	0
11	3	JA	afternoon	1	22	3	2	1	NA	NA	1	2	1	1
52	8	Control	afternoon	1	22	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	morning	2	30	12	3	1	NA	NA	7	4	1	1
24	13	Control	morning	2	34	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	morning	2	36	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	morning	2	36	NA	0	0	NA	NA	NA	NA	NA	NA
33	11	JA	morning	2	36	4	1	1	NA	NA	4	NA	0	0
53	11	Control	morning	2	38	5	1	1	NA	NA	5	NA	0	0
39	22	Control	morning	2	38	2	1	1	NA	NA	2	NA	0	0
6	18	Control	morning	2	37	7	1	1	NA	NA	7	NA	0	0
11	3	JA	morning	2	37	5	2	1	NA	NA	3	2	1	1
52	8	Control	morning	2	37	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	2	32	11	3	1	NA	1	9	NA	0	1
24	13	Control	afternoon	2	36	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	2	36	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	afternoon	2	33	NA	0	0	NA	NA	NA	NA	NA	NA
33	11	JA	afternoon	2	29	7	1	1	NA	NA	7	NA	0	0
53	11	Control	afternoon	2	26	4	1	1	NA	NA	4	NA	0	0
39	22	Control	afternoon	2	24	2	2	1	NA	NA	1	1	1	1
6	18	Control	afternoon	2	22	1	1	1	NA	NA	NA	1	1	0
11	3	JA	afternoon	2	22	2	1	1	NA	NA	NA	2	1	0
52	8	Control	afternoon	2	22	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	morning	3	31	21	4	1	NA	3	14	3	1	1
24	13	Control	morning	3	32	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	morning	3	32	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	morning	3	33	1	1	1	1	NA	NA	NA	0	0
33	11	JA	morning	3	33	6	1	1	NA	NA	6	NA	0	0
53	11	Control	morning	3	34	3	1	1	NA	NA	3	NA	0	0
39	22	Control	morning	3	38	1	1	1	NA	NA	1	NA	0	0
6	18	Control	morning	3	39	9	1	1	NA	NA	9	NA	0	0
11	3	JA	morning	3	38	10	1	1	NA	NA	10	NA	0	0
52	8	Control	morning	3	38	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	3	28	11	3	1	NA	1	6	4	1	1
24	13	Control	afternoon	3	27	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	3	26	1	1	1	NA	NA	NA	1	1	0
34	13	JA	afternoon	3	26	NA	0	0	NA	NA	NA	NA	NA	NA
33	11	JA	afternoon	3	26	2	1	1	NA	NA	2	NA	0	0
53	11	Control	afternoon	3	26	3	1	1	NA	NA	3	NA	0	0
39	22	Control	afternoon	3	25	NA	0	0	NA	NA	NA	NA	NA	NA
6	18	Control	afternoon	3	22	5	2	1	NA	NA	3	2	1	1
11	3	JA	afternoon	3	22	3	2	1	NA	NA	1	2	1	1
52	8	Control	afternoon	3	21	1	1	1	NA	NA	NA	1	1	0
25	16	JA	morning	4	31	12	4	1	NA	2	5	4	1	1
24	13	Control	morning	4	32	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	morning	4	34	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	morning	4	35	1	1	1	NA	NA	NA	1	1	0
33	11	JA	morning	4	34	5	1	1	NA	NA	5	NA	0	0
53	11	Control	morning	4	35	6	1	1	NA	NA	6	NA	0	0
39	22	Control	morning	4	39	NA	0	0	NA	NA	NA	NA	NA	NA
6	18	Control	morning	4	39	6	1	1	NA	NA	6	NA	0	0
11	3	JA	morning	4	38	8	1	1	NA	NA	8	NA	0	0
52	8	Control	morning	4	37	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	4	38	21	4	1	NA	1	16	3	1	1
24	13	Control	afternoon	4	33	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	4	36	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	afternoon	4	30	1	1	1	NA	NA	NA	1	1	0
33	11	JA	afternoon	4	28	3	1	1	NA	NA	3	NA	0	0
53	11	Control	afternoon	4	26	7	1	1	NA	NA	7	NA	0	0
39	22	Control	afternoon	4	24	NA	0	0	NA	NA	NA	NA	NA	NA
6	18	Control	afternoon	4	24	4	2	1	NA	NA	3	1	1	1
11	3	JA	afternoon	4	24	2	1	1	NA	NA	NA	2	1	0
52	8	Control	afternoon	4	23	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	morning	5	32	22	3	1	NA	2	19	NA	0	1
24	13	Control	morning	5	36	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	morning	5	37	1	1	1	NA	NA	NA	1	1	0
34	13	JA	morning	5	40	4	2	1	NA	2	2	NA	0	1
33	11	JA	morning	5	40	9	1	1	NA	NA	9	NA	0	0
53	11	Control	morning	5	40	6	1	1	NA	NA	6	NA	0	0
39	22	Control	morning	5	43	1	1	1	NA	NA	1	NA	0	0
6	18	Control	morning	5	43	9	1	1	NA	NA	9	NA	0	0
11	3	JA	morning	5	42	10	1	1	NA	NA	10	NA	0	0
52	8	Control	morning	5	43	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	5	32	36	4	1	NA	1	32	2	1	1
24	13	Control	afternoon	5	34	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	5	32	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	afternoon	5	30	2	2	1	1	NA	NA	1	1	1
33	11	JA	afternoon	5	29	6	1	1	NA	NA	6	NA	0	0
53	11	Control	afternoon	5	28	6	1	1	NA	NA	6	NA	0	0
39	22	Control	afternoon	5	27	3	1	1	NA	NA	3	NA	0	0
6	18	Control	afternoon	5	23	9	1	1	NA	NA	9	NA	0	0
11	3	JA	afternoon	5	22	2	1	1	NA	NA	2	NA	0	0
52	8	Control	afternoon	5	22	1	1	1	NA	NA	1	NA	0	0
8	26	Control	morning	6	30	2	1	1	NA	NA	2	NA	0	0
12	8	JA	morning	6	30	2	1	1	NA	NA	2	NA	0	0
7	21	Control	morning	6	32	1	1	1	1	NA	NA	NA	0	0
16	18	JA	morning	6	30	8	1	1	NA	NA	8	NA	0	0
35	16	Control	morning	6	30	23	2	1	NA	1	22	NA	0	1
38	26	JA	morning	6	29	4	1	1	NA	NA	4	NA	0	0
50	30	Control	morning	6	28	6	2	1	NA	2	4	NA	0	1
49	22	JA	morning	6	28	2	1	1	2	NA	NA	NA	0	0
46	3	Control	morning	6	29	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	morning	6	34	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	6	26	4	1	1	NA	NA	4	NA	0	0
